Name: AR01, Instruction: Head east on AR01, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: Englschalkinger Straße, Instruction: Turn right onto Englschalkinger Straße, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight left, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Continue straight, Distance: 121.0 meters, Time: 87.1 seconds
Name: Elektrastraße, Instruction: Turn right onto Elektrastraße, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Turn slight right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn slight right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn right, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn slight right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Keep right, Distance: 245.9 meters, Time: 177.0 seconds
Name: Revaler Straße, Instruction: Turn right onto Revaler Straße, Distance: 8.9 meters, Time: 6.4 seconds
Name: Gotthelfstraße, Instruction: Turn left onto Gotthelfstraße, Distance: 443.2 meters, Time: 319.1 seconds
Name: Gotthelfstraße, Instruction: Continue straight onto Gotthelfstraße, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Continue straight, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 114.8 meters, Time: 82.6 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 195.5 meters, Time: 140.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
