Name: Segar Road, Instruction: Head northwest on Segar Road, Distance: 29.5 meters, Time: 21.3 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn left onto Bukit Panjang Park Connector, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 903.7 meters, Time: 650.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 283.4 meters, Time: 204.1 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 40.9 meters, Time: 29.4 seconds
Name: Pang Sua Park Connector, Instruction: Turn right onto Pang Sua Park Connector, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 214.7 meters, Time: 154.6 seconds
Name: Pang Sua Park Connector, Instruction: Turn sharp right onto Pang Sua Park Connector, Distance: 5.7 meters, Time: 4.1 seconds
Name: Pang Sua Park Connector, Instruction: Turn left onto Pang Sua Park Connector, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn slight left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 269.5 meters, Time: 194.0 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
