Name: Tecumseth Street, Instruction: Head south on Tecumseth Street, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 165.5 meters, Time: 119.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Niagara Street, Instruction: Turn left onto Niagara Street, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 330.5 meters, Time: 238.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 104.8 meters, Time: 75.5 seconds
Name: -, Instruction: Turn left, Distance: 117.7 meters, Time: 84.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
