Name: Briar Hill Avenue, Instruction: Head west on Briar Hill Avenue, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Keep right, Distance: 161.3 meters, Time: 116.1 seconds
Name: -, Instruction: Keep right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 244.4 meters, Time: 176.0 seconds
Name: -, Instruction: Turn right, Distance: 492.0 meters, Time: 354.3 seconds
Name: -, Instruction: Turn left, Distance: 148.8 meters, Time: 107.1 seconds
Name: -, Instruction: Turn right, Distance: 33.4 meters, Time: 24.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
