Name: Graham Street, Instruction: Head northwest on Graham Street, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 123.0 meters, Time: 88.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn slight left, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep right, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 10.2 meters, Time: 7.4 seconds
Name: Hobson Street, Instruction: Turn left onto Hobson Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: Swanson Street, Instruction: Turn right onto Swanson Street, Distance: 173.3 meters, Time: 124.8 seconds
Name: -, Instruction: Keep right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Keep left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Swanson Street, Instruction: Turn slight right onto Swanson Street, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight left, Distance: 332.8 meters, Time: 239.6 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Turn right, Distance: 1.0 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
