Name: Grosvenor Lane, Instruction: Head east on Grosvenor Lane, Distance: 120.7 meters, Time: 86.9 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 231.1 meters, Time: 166.4 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 113.1 meters, Time: 81.4 seconds
Name: -, Instruction: Keep right, Distance: 153.0 meters, Time: 110.2 seconds
Name: Waverley Crescent, Instruction: Turn left onto Waverley Crescent, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 188.0 meters, Time: 135.4 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Continue straight, Distance: 209.8 meters, Time: 151.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn slight left, Distance: 205.0 meters, Time: 147.6 seconds
Name: -, Instruction: Turn slight right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn slight right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Keep left, Distance: 344.1 meters, Time: 247.7 seconds
Name: Imperial Avenue, Instruction: Turn left onto Imperial Avenue, Distance: 38.2 meters, Time: 27.5 seconds
Name: Castlefield Lane, Instruction: Turn right onto Castlefield Lane, Distance: 212.4 meters, Time: 152.9 seconds
Name: -, Instruction: Turn left, Distance: 125.4 meters, Time: 90.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
