Name: Sydenham Lane, Instruction: Head northwest on Sydenham Lane, Distance: 210.9 meters, Time: 151.8 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 128.7 meters, Time: 92.7 seconds
Name: -, Instruction: Keep left, Distance: 86.3 meters, Time: 62.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 159.0 meters, Time: 114.5 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight right, Distance: 201.1 meters, Time: 144.8 seconds
Name: Illawarra Road, Instruction: Turn right onto Illawarra Road, Distance: 969.4 meters, Time: 698.0 seconds
Name: Newington Road, Instruction: Turn left onto Newington Road, Distance: 16.9 meters, Time: 12.2 seconds
Name: Browns Avenue, Instruction: Turn right onto Browns Avenue, Distance: 182.8 meters, Time: 131.6 seconds
Name: Harrington Street, Instruction: Turn left onto Harrington Street, Distance: 158.0 meters, Time: 113.8 seconds
Name: -, Instruction: Turn left, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Stanmore Road, A34, Instruction: Turn left onto Stanmore Road, A34, Distance: 53.8 meters, Time: 38.8 seconds
Name: Holt Street, Instruction: Turn right onto Holt Street, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Arrive at Holt Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
