Name: Lasswade Road, Instruction: Head north on Lasswade Road, Distance: 308.6 meters, Time: 222.2 seconds
Name: Strawberry Lane, Instruction: Turn right onto Strawberry Lane, Distance: 568.4 meters, Time: 409.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 204.1 meters, Time: 146.9 seconds
Name: -, Instruction: Keep left, Distance: 377.5 meters, Time: 271.8 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 335.4 meters, Time: 241.5 seconds
Name: -, Instruction: Keep right, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Firgrove Service Road, Instruction: Turn right onto Firgrove Service Road, Distance: 424.5 meters, Time: 305.7 seconds
Name: -, Instruction: Arrive at Firgrove Service Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
