Name: Quainton Street, Instruction: Head northeast on Quainton Street, Distance: 188.9 meters, Time: 136.0 seconds
Name: -, Instruction: Turn left, Distance: 217.9 meters, Time: 156.9 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Keep left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 293.3 meters, Time: 211.2 seconds
Name: -, Instruction: Turn right, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 205.4 meters, Time: 147.9 seconds
Name: Deanscroft Avenue, Instruction: Turn left onto Deanscroft Avenue, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 85.6 meters, Time: 61.6 seconds
Name: Dunster Drive, Instruction: Turn left onto Dunster Drive, Distance: 49.1 meters, Time: 35.3 seconds
Name: Dimsdale Drive, Instruction: Turn right onto Dimsdale Drive, Distance: 79.0 meters, Time: 56.9 seconds
Name: -, Instruction: Turn left, Distance: 95.7 meters, Time: 68.9 seconds
Name: Holden Avenue, Instruction: Turn right onto Holden Avenue, Distance: 127.9 meters, Time: 92.1 seconds
Name: Lavender Avenue, Instruction: Turn left onto Lavender Avenue, Distance: 260.0 meters, Time: 187.2 seconds
Name: Salmon Street, Instruction: Turn right onto Salmon Street, Distance: 196.0 meters, Time: 141.1 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Keep left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Keep right, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 141.3 meters, Time: 101.8 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
