Name: Rua Gutemberg, Instruction: Head southeast on Rua Gutemberg, Distance: 136.4 meters, Time: 98.2 seconds
Name: Rua Kleper, Instruction: Turn left onto Rua Kleper, Distance: 127.0 meters, Time: 91.4 seconds
Name: Avenida André Versálio, Instruction: Turn right onto Avenida André Versálio, Distance: 220.2 meters, Time: 158.5 seconds
Name: Rua Laudelino Vieira de Campos, Instruction: Keep left onto Rua Laudelino Vieira de Campos, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Keep left, Distance: 50.9 meters, Time: 36.7 seconds
Name: Estrada do Rio do A, Instruction: Turn slight right onto Estrada do Rio do A, Distance: 740.8 meters, Time: 533.4 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Keep left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.2 seconds
Name: -, Instruction: Turn slight left, Distance: 9.6 meters, Time: 6.9 seconds
Name: Avenida Cesário de Melo, Instruction: Turn right onto Avenida Cesário de Melo, Distance: 98.5 meters, Time: 70.9 seconds
Name: Avenida Cesário de Melo, Instruction: Turn sharp right onto Avenida Cesário de Melo, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
