Name: ムーンロード, Instruction: Head north on ムーンロード, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.2 seconds
Name: -, Instruction: Turn left, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
