Name: Wyland Road, Instruction: Head northwest on Wyland Road, Distance: 53.6 meters, Time: 38.6 seconds
Name: Spilbergen Street, Instruction: Turn left onto Spilbergen Street, Distance: 508.1 meters, Time: 365.9 seconds
Name: Coornhoop Street, Instruction: Turn left onto Coornhoop Street, Distance: 373.0 meters, Time: 268.6 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Letchworth Drive, Instruction: Turn right onto Letchworth Drive, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
