Name: Worcester Road, Instruction: Head northwest on Worcester Road, Distance: 48.8 meters, Time: 35.2 seconds
Name: -, Instruction: Turn left, Distance: 112.1 meters, Time: 80.7 seconds
Name: Graham Road, Instruction: Turn left onto Graham Road, Distance: 59.0 meters, Time: 42.5 seconds
Name: Arthurs Road, Instruction: Turn right onto Arthurs Road, Distance: 234.4 meters, Time: 168.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 775.5 meters, Time: 558.4 seconds
Name: -, Instruction: Keep left, Distance: 138.0 meters, Time: 99.4 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Beach Road, Instruction: Turn right onto Beach Road, Distance: 61.9 meters, Time: 44.6 seconds
Name: Alexander Road, Instruction: Turn left onto Alexander Road, Distance: 223.1 meters, Time: 160.6 seconds
Name: -, Instruction: Arrive at Alexander Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
