Name: Cleveland Avenue, Instruction: Head southwest on Cleveland Avenue, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 222.8 meters, Time: 160.4 seconds
Name: -, Instruction: Keep left, Distance: 599.6 meters, Time: 431.7 seconds
Name: -, Instruction: Turn slight left, Distance: 172.0 meters, Time: 123.8 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 131.3 meters, Time: 94.5 seconds
Name: -, Instruction: Turn left, Distance: 107.7 meters, Time: 77.6 seconds
Name: Granville Road, Instruction: Turn right onto Granville Road, Distance: 5.1 meters, Time: 3.7 seconds
Name: Palmerston Road, Instruction: Turn left onto Palmerston Road, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Pelham Road, Instruction: Turn right onto Pelham Road, Distance: 135.6 meters, Time: 97.6 seconds
Name: Southey Road, Instruction: Turn left onto Southey Road, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Trinity Road, Instruction: Turn left onto Trinity Road, Distance: 123.8 meters, Time: 89.1 seconds
Name: Florence Road, Instruction: Turn right onto Florence Road, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 141.5 meters, Time: 101.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
