Name: Gufidauner Straße, Instruction: Head northeast on Gufidauner Straße, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn left, Distance: 747.3 meters, Time: 538.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.7 meters, Time: 32.2 seconds
Name: Tegernseer Landstraße, Instruction: Continue straight onto Tegernseer Landstraße, Distance: 119.4 meters, Time: 86.0 seconds
Name: Martin-Luther-Straße, Instruction: Turn slight left onto Martin-Luther-Straße, Distance: 34.9 meters, Time: 25.1 seconds
Name: Martin-Luther-Straße, Instruction: Keep right onto Martin-Luther-Straße, Distance: 106.4 meters, Time: 76.6 seconds
Name: Zehentbauernstraße, Instruction: Turn left onto Zehentbauernstraße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Martin-Luther-Straße, Instruction: Turn right onto Martin-Luther-Straße, Distance: 487.4 meters, Time: 350.9 seconds
Name: -, Instruction: Turn right, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep right, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Keep left, Distance: 18.9 meters, Time: 13.6 seconds
Name: Kolumbusplatz, Instruction: Turn right onto Kolumbusplatz, Distance: 10.7 meters, Time: 7.7 seconds
Name: Kolumbusstraße, Instruction: Turn left onto Kolumbusstraße, Distance: 121.2 meters, Time: 87.3 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
