Name: شارع حلمي عبد العاطي, Instruction: Head west on شارع حلمي عبد العاطي, Distance: 46.4 meters, Time: 33.4 seconds
Name: شارع جمال الدين قاسم, Instruction: Turn left onto شارع جمال الدين قاسم, Distance: 347.3 meters, Time: 250.0 seconds
Name: شارع زكريا عثمان, Instruction: Turn right onto شارع زكريا عثمان, Distance: 86.8 meters, Time: 62.5 seconds
Name: شارع نجاتي سراج, Instruction: Turn left onto شارع نجاتي سراج, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: شارع نجاتي سراج, Instruction: Turn slight right onto شارع نجاتي سراج, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: شارع جمال الدين دويدار, Instruction: Turn left onto شارع جمال الدين دويدار, Distance: 993.0 meters, Time: 715.0 seconds
Name: شارع عمر لطفي, Instruction: Turn left onto شارع عمر لطفي, Distance: 82.4 meters, Time: 59.3 seconds
Name: شارع احمد الزمر, Instruction: Turn right onto شارع احمد الزمر, Distance: 72.1 meters, Time: 51.9 seconds
Name: شارع ابو العتاهيه, Instruction: Turn right onto شارع ابو العتاهيه, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.1 meters, Time: 17.3 seconds
Name: شارع ابو العتاهيه, Instruction: Turn slight right onto شارع ابو العتاهيه, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 77.6 meters, Time: 55.9 seconds
Name: شارع ابن سعيد الغرناطى, Instruction: Turn right onto شارع ابن سعيد الغرناطى, Distance: 168.7 meters, Time: 121.5 seconds
Name: شارع نصر خسرو, Instruction: Turn right onto شارع نصر خسرو, Distance: 51.7 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: شارع نصر خسرو, Instruction: Turn sharp right onto شارع نصر خسرو, Distance: 28.1 meters, Time: 20.2 seconds
Name: شارع ابو العتاهيه, Instruction: Turn left onto شارع ابو العتاهيه, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Keep right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: شارع ابو العتاهيه, Instruction: Turn left onto شارع ابو العتاهيه, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 74.8 meters, Time: 53.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
