Name: Old Northern Road, Instruction: Head northwest on Old Northern Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn slight left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn left, Distance: 128.3 meters, Time: 92.4 seconds
Name: -, Instruction: Turn right, Distance: 346.5 meters, Time: 249.5 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Orange Grove, Instruction: Turn right onto Orange Grove, Distance: 207.1 meters, Time: 149.1 seconds
Name: Francis Street, Instruction: Enter the roundabout and take the 1st exit onto Francis Street, Distance: 327.0 meters, Time: 235.4 seconds
Name: Adey Place, Instruction: Turn right onto Adey Place, Distance: 152.6 meters, Time: 109.8 seconds
Name: -, Instruction: Turn right, Distance: 170.9 meters, Time: 123.0 seconds
Name: Stone Cottage Court, Instruction: Turn right onto Stone Cottage Court, Distance: 185.7 meters, Time: 133.7 seconds
Name: Church Street, Instruction: Turn left onto Church Street, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Arrive at Church Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
