Name: Ang Mo Kio Avenue 6, Instruction: Head northwest on Ang Mo Kio Avenue 6, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Keep right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 305.6 meters, Time: 220.0 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 866.3 meters, Time: 623.8 seconds
Name: -, Instruction: Continue straight, Distance: 253.0 meters, Time: 182.2 seconds
Name: -, Instruction: Continue straight, Distance: 38.4 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 251.1 meters, Time: 180.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
