Name: Passage Championnet, Instruction: Head west on Passage Championnet, Distance: 54.5 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 203.7 meters, Time: 146.7 seconds
Name: -, Instruction: Turn slight right, Distance: 260.7 meters, Time: 187.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Rue Belliard, Instruction: Turn right onto Rue Belliard, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Turn left, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn right, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 392.7 meters, Time: 282.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 154.0 meters, Time: 110.9 seconds
Name: -, Instruction: Keep right, Distance: 271.2 meters, Time: 195.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
