Name: Kingdale Road, Instruction: Head southeast on Kingdale Road, Distance: 13.8 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight right, Distance: 102.0 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 139.1 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 468.1 meters, Time: 337.1 seconds
Name: -, Instruction: Turn left, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 136.8 meters, Time: 98.5 seconds
Name: -, Instruction: Keep right, Distance: 349.8 meters, Time: 251.9 seconds
Name: -, Instruction: Turn left, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Keep right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Keep left, Distance: 80.0 meters, Time: 57.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
