Name: Honeycomb Drive, Instruction: Head east on Honeycomb Drive, Distance: 177.6 meters, Time: 127.9 seconds
Name: Eucalyptus Place, Instruction: Turn left onto Eucalyptus Place, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 1206.5 meters, Time: 868.7 seconds
Name: -, Instruction: Turn right, Distance: 641.6 meters, Time: 462.0 seconds
Name: -, Instruction: Turn right, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 56.6 meters, Time: 40.8 seconds
Name: M7 Cycleway, Instruction: Turn right onto M7 Cycleway, Distance: 525.9 meters, Time: 378.7 seconds
Name: Old Wallgrove Road Shared Path, Instruction: Turn right onto Old Wallgrove Road Shared Path, Distance: 35.0 meters, Time: 25.2 seconds
Name: Wallgrove Road, Instruction: Turn left onto Wallgrove Road, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at Wallgrove Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
