Name: Moossteiggeräumt, Instruction: Head east on Moossteiggeräumt, Distance: 596.3 meters, Time: 429.3 seconds
Name: -, Instruction: Turn slight right, Distance: 71.2 meters, Time: 51.3 seconds
Name: Teufelsbergstraße, Instruction: Turn slight left onto Teufelsbergstraße, Distance: 188.7 meters, Time: 135.8 seconds
Name: -, Instruction: Turn right, Distance: 588.8 meters, Time: 423.9 seconds
Name: -, Instruction: Turn left, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 74.1 meters, Time: 53.3 seconds
Name: Gotzmannstraße, Instruction: Turn right onto Gotzmannstraße, Distance: 197.2 meters, Time: 142.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 133.1 meters, Time: 95.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
