Name: Rue Copernic, Instruction: Head southeast on Rue Copernic, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 409.8 meters, Time: 295.1 seconds
Name: -, Instruction: Turn right, Distance: 41.2 meters, Time: 29.6 seconds
Name: -, Instruction: Turn left, Distance: 229.6 meters, Time: 165.3 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 192.1 meters, Time: 138.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
