Name: Trevose Crescent, Instruction: Head southeast on Trevose Crescent, Distance: 418.1 meters, Time: 301.0 seconds
Name: -, Instruction: Turn left, Distance: 117.9 meters, Time: 84.9 seconds
Name: -, Instruction: Turn right, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn slight right, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 301.0 meters, Time: 216.7 seconds
Name: White House Road, Instruction: Turn left onto White House Road, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 103.5 meters, Time: 74.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn slight left, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Keep left, Distance: 59.4 meters, Time: 42.8 seconds
Name: -, Instruction: Turn slight left, Distance: 149.6 meters, Time: 107.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
