Name: Defu Lane 11, Instruction: Head southeast on Defu Lane 11, Distance: 241.7 meters, Time: 174.0 seconds
Name: Defu Lane 12, Instruction: Turn right onto Defu Lane 12, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn right, Distance: 285.6 meters, Time: 205.6 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 287.4 meters, Time: 206.9 seconds
Name: -, Instruction: Turn slight right, Distance: 151.5 meters, Time: 109.1 seconds
Name: -, Instruction: Turn right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Turn right, Distance: 70.3 meters, Time: 50.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
