Name: Rue Francis Jammes, Instruction: Head northeast on Rue Francis Jammes, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 27.3 meters, Time: 19.6 seconds
Name: -, Instruction: Turn slight right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Keep left, Distance: 71.2 meters, Time: 51.2 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 66.7 meters, Time: 48.0 seconds
Name: -, Instruction: Keep right, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Keep left, Distance: 219.2 meters, Time: 157.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 3.5 meters, Time: 2.5 seconds
Name: Avenue du Général San Martin, Instruction: Turn right onto Avenue du Général San Martin, Distance: 10.5 meters, Time: 7.6 seconds
Name: Avenue des Marnes, Instruction: Turn left onto Avenue des Marnes, Distance: 42.0 meters, Time: 30.2 seconds
Name: Avenue des Marnes, Instruction: Keep right onto Avenue des Marnes, Distance: 282.6 meters, Time: 203.5 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn slight left, Distance: 373.8 meters, Time: 269.2 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
