Name: Chapel Road, Instruction: Head west on Chapel Road, Distance: 64.6 meters, Time: 46.5 seconds
Name: Cecil Road, Instruction: Turn right onto Cecil Road, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Turn left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Keep left, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn slight left, Distance: 13.1 meters, Time: 9.5 seconds
Name: Rhodes Avenue, Instruction: Turn right onto Rhodes Avenue, Distance: 61.6 meters, Time: 44.4 seconds
Name: Avenue Road, Instruction: Turn left onto Avenue Road, Distance: 237.1 meters, Time: 170.7 seconds
Name: -, Instruction: Turn left, Distance: 86.7 meters, Time: 62.4 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
