Name: Rue des Martyrs, Instruction: Head north on Rue des Martyrs, Distance: 109.1 meters, Time: 78.6 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 227.7 meters, Time: 163.9 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 171.3 meters, Time: 123.3 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: Rue Condorcet, Instruction: Turn right onto Rue Condorcet, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn right, Distance: 161.4 meters, Time: 116.2 seconds
Name: -, Instruction: Keep right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep left, Distance: 97.4 meters, Time: 70.1 seconds
Name: -, Instruction: Keep right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: Rue de Maubeuge, Instruction: Turn left onto Rue de Maubeuge, Distance: 14.6 meters, Time: 10.5 seconds
Name: Rue Saint-Vincent de Paul, Instruction: Turn left onto Rue Saint-Vincent de Paul, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue de Maubeuge, Instruction: Turn right onto Rue de Maubeuge, Distance: 166.7 meters, Time: 120.0 seconds
Name: Rue de Compiègne, Instruction: Keep right onto Rue de Compiègne, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep left, Distance: 56.1 meters, Time: 40.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 201.9 meters, Time: 145.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.1 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
