Name: Rosemarie Popham Lane, Instruction: Head north on Rosemarie Popham Lane, Distance: 63.5 meters, Time: 45.8 seconds
Name: -, Instruction: Turn left, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Kimberley Avenue, Instruction: Turn left onto Kimberley Avenue, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 110.2 meters, Time: 79.4 seconds
Name: -, Instruction: Keep left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: Swanwick Avenue, Instruction: Turn right onto Swanwick Avenue, Distance: 68.4 meters, Time: 49.3 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Wayland Avenue, Instruction: Turn left onto Wayland Avenue, Distance: 141.4 meters, Time: 101.8 seconds
Name: Reese Fallon Way, Instruction: Turn right onto Reese Fallon Way, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn right, Distance: 105.6 meters, Time: 76.1 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
