Name: Evelyn Avenue, Instruction: Head southeast on Evelyn Avenue, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 251.8 meters, Time: 181.3 seconds
Name: Edith Avenue, Instruction: Turn sharp left onto Edith Avenue, Distance: 7.9 meters, Time: 5.7 seconds
Name: Burwood Road, Instruction: Turn left onto Burwood Road, Distance: 8.1 meters, Time: 5.8 seconds
Name: La Mascotte Avenue, Instruction: Turn right onto La Mascotte Avenue, Distance: 296.6 meters, Time: 213.6 seconds
Name: -, Instruction: Turn right, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 344.2 meters, Time: 247.8 seconds
Name: -, Instruction: Continue straight, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Keep right, Distance: 338.9 meters, Time: 244.0 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 369.0 meters, Time: 265.7 seconds
Name: Van Hee Street, Instruction: Turn left onto Van Hee Street, Distance: 7.4 meters, Time: 5.3 seconds
Name: Frederick Street, Instruction: Turn right onto Frederick Street, Distance: 50.1 meters, Time: 36.1 seconds
Name: Brays Road, Instruction: Turn left onto Brays Road, Distance: 110.5 meters, Time: 79.6 seconds
Name: Rickard Street, Instruction: Turn right onto Rickard Street, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Arrive at Rickard Street, on the right, Distance: 0.0 meters, Time: 0.0 seconds
