Name: Rudolf-Harbig-Weg, Instruction: Head northwest on Rudolf-Harbig-Weg, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Keep left, Distance: 297.8 meters, Time: 214.4 seconds
Name: -, Instruction: Turn right, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn slight left, Distance: 16.0 meters, Time: 11.5 seconds
Name: Hedwig-Dransfeld-Allee, Instruction: Turn slight right onto Hedwig-Dransfeld-Allee, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Keep left, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 54.2 meters, Time: 39.0 seconds
Name: Sprunerstraße, Instruction: Turn left onto Sprunerstraße, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Arrive at Sprunerstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
