Name: Ennerdale Road, Instruction: Head north on Ennerdale Road, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 84.5 meters, Time: 60.8 seconds
Name: -, Instruction: Keep left, Distance: 97.9 meters, Time: 70.5 seconds
Name: -, Instruction: Turn slight left, Distance: 96.9 meters, Time: 69.7 seconds
Name: -, Instruction: Turn right, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Turn right, Distance: 415.8 meters, Time: 299.3 seconds
Name: -, Instruction: Turn right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
