Name: O'Keefe Lane, Instruction: Head south on O'Keefe Lane, Distance: 197.4 meters, Time: 142.1 seconds
Name: Gould Street, Instruction: Turn right onto Gould Street, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Keep right, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Keep left, Distance: 31.7 meters, Time: 22.9 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: Eaton Centre level 3, Instruction: Keep left onto Eaton Centre level 3, Distance: 139.6 meters, Time: 100.5 seconds
Name: Eaton Centre level 3, Instruction: Keep left onto Eaton Centre level 3, Distance: 123.9 meters, Time: 89.2 seconds
Name: Eaton Centre level 3, Instruction: Continue straight onto Eaton Centre level 3, Distance: 251.0 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 309.9 meters, Time: 223.1 seconds
Name: -, Instruction: Keep right, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Keep left, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Keep right, Distance: 76.0 meters, Time: 54.7 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
