Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 67.1 meters, Time: 48.3 seconds
Name: Madeira Place, Instruction: Turn left onto Madeira Place, Distance: 53.6 meters, Time: 38.6 seconds
Name: Burton Street, Instruction: Turn right onto Burton Street, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn slight left, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight left, Distance: 393.8 meters, Time: 283.6 seconds
Name: -, Instruction: Continue straight, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn slight left, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 501.2 meters, Time: 360.9 seconds
Name: -, Instruction: Turn right, Distance: 181.3 meters, Time: 130.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
