Name: Boulevard de Vaugirard, Instruction: Head northeast on Boulevard de Vaugirard, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 285.7 meters, Time: 205.7 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 155.9 meters, Time: 112.2 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: Rue de l'Armorique, Instruction: Turn left onto Rue de l'Armorique, Distance: 12.6 meters, Time: 9.1 seconds
Name: Place Madeleine Renaud et Jean-Louis Barrault, Instruction: Keep right onto Place Madeleine Renaud et Jean-Louis Barrault, Distance: 237.7 meters, Time: 171.2 seconds
Name: Rue André Gide, Instruction: Keep right onto Rue André Gide, Distance: 437.0 meters, Time: 314.6 seconds
Name: Rue Castagnary, Instruction: Turn slight left onto Rue Castagnary, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 210.0 meters, Time: 151.2 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 72.5 meters, Time: 52.2 seconds
Name: -, Instruction: Turn slight right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 164.2 meters, Time: 118.2 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: Rue Fizeau, Instruction: Turn right onto Rue Fizeau, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Arrive at Rue Fizeau, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
