Name: Bernaysstraße, Instruction: Head south on Bernaysstraße, Distance: 239.7 meters, Time: 172.6 seconds
Name: Thalhoferstraße, Instruction: Turn left onto Thalhoferstraße, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn right, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn left, Distance: 534.7 meters, Time: 385.0 seconds
Name: -, Instruction: Turn left, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: Sudetendeutschestraße, Instruction: Turn left onto Sudetendeutschestraße, Distance: 4.2 meters, Time: 3.1 seconds
Name: Karlsteinstraße, Instruction: Turn right onto Karlsteinstraße, Distance: 262.9 meters, Time: 189.3 seconds
Name: Marienbader Straße, Instruction: Turn left onto Marienbader Straße, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 137.8 meters, Time: 99.2 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Hufelandstraße, Instruction: Turn right onto Hufelandstraße, Distance: 105.1 meters, Time: 75.7 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
