Name: Avenida Cesário de Melo, Instruction: Head east on Avenida Cesário de Melo, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Alfredo Del Cima, Instruction: Turn left onto Alfredo Del Cima, Distance: 517.8 meters, Time: 372.8 seconds
Name: Rua Passabela, Instruction: Turn right onto Rua Passabela, Distance: 86.6 meters, Time: 62.3 seconds
Name: -, Instruction: Continue straight, Distance: 191.7 meters, Time: 138.0 seconds
Name: -, Instruction: Turn left, Distance: 728.3 meters, Time: 524.4 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Continue straight, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Estrada Urucânia, Instruction: Turn left onto Estrada Urucânia, Distance: 16.1 meters, Time: 11.6 seconds
Name: Rua São Erminoldo, Instruction: Turn right onto Rua São Erminoldo, Distance: 76.4 meters, Time: 55.0 seconds
Name: Rua Lúcio Cardoso, Instruction: Continue straight onto Rua Lúcio Cardoso, Distance: 217.1 meters, Time: 156.3 seconds
Name: Rua Professora Eva de Oliveira, Instruction: Turn right onto Rua Professora Eva de Oliveira, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Arrive at Rua Professora Eva de Oliveira, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
