Name: North Oak Hill Way, Instruction: Head northwest on North Oak Hill Way, Distance: 281.6 meters, Time: 202.8 seconds
Name: East 3rd Avenue, Instruction: Turn left onto East 3rd Avenue, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn slight right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Turn right, Distance: 56.3 meters, Time: 40.6 seconds
Name: -, Instruction: Keep right, Distance: 155.0 meters, Time: 111.6 seconds
Name: -, Instruction: Turn left, Distance: 48.8 meters, Time: 35.1 seconds
Name: North Muscadine Court, Instruction: Turn sharp right onto North Muscadine Court, Distance: 90.8 meters, Time: 65.4 seconds
Name: East Parkview Place, Instruction: Turn left onto East Parkview Place, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 162.8 meters, Time: 117.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
