Name: 染井銀座商店街, Instruction: Head west on 染井銀座商店街, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 53.5 meters, Time: 38.5 seconds
Name: -, Instruction: Turn right, Distance: 181.1 meters, Time: 130.4 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Turn right, Distance: 25.2 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 282.6 meters, Time: 203.5 seconds
Name: -, Instruction: Turn right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 199.8 meters, Time: 143.8 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn left, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.4 seconds
Name: -, Instruction: Turn left, Distance: 79.3 meters, Time: 57.1 seconds
Name: -, Instruction: Turn right, Distance: 27.7 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 151.4 meters, Time: 109.0 seconds
Name: 江戸橋通り, Instruction: Turn right onto 江戸橋通り, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn left, Distance: 120.6 meters, Time: 86.9 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 245.9 meters, Time: 177.0 seconds
Name: -, Instruction: Turn right, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
