Name: Plough Way, B206, Instruction: Head east on Plough Way, B206, Distance: 8.1 meters, Time: 5.8 seconds
Name: Grove Street, B206, Instruction: Turn right onto Grove Street, B206, Distance: 301.2 meters, Time: 216.9 seconds
Name: Windlass Place, Instruction: Turn right onto Windlass Place, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 405.0 meters, Time: 291.6 seconds
Name: -, Instruction: Turn slight right, Distance: 332.3 meters, Time: 239.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn slight right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 371.7 meters, Time: 267.6 seconds
Name: -, Instruction: Continue straight, Distance: 25.4 meters, Time: 18.3 seconds
Name: -, Instruction: Continue straight, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn slight left, Distance: 395.7 meters, Time: 284.9 seconds
Name: -, Instruction: Turn right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
