Name: Defu Lane 11, Instruction: Head north on Defu Lane 11, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.7 seconds
Name: Hougang Ave 3 Park Connector, Instruction: Turn left onto Hougang Ave 3 Park Connector, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 648.6 meters, Time: 467.0 seconds
Name: Paya Lebar Park Connector, Instruction: Turn right onto Paya Lebar Park Connector, Distance: 39.2 meters, Time: 28.3 seconds
Name: -, Instruction: Continue straight, Distance: 71.0 meters, Time: 51.1 seconds
Name: -, Instruction: Turn left, Distance: 57.6 meters, Time: 41.5 seconds
Name: Jalan Bunga Rampai, Instruction: Turn slight right onto Jalan Bunga Rampai, Distance: 434.2 meters, Time: 312.6 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: Joo Seng Road, Instruction: Turn right onto Joo Seng Road, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Arrive at Joo Seng Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
