Name: Antler Street, Instruction: Head east on Antler Street, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 193.9 meters, Time: 139.6 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 341.6 meters, Time: 246.0 seconds
Name: -, Instruction: Turn left, Distance: 231.3 meters, Time: 166.5 seconds
Name: Brandon Avenue, Instruction: Turn right onto Brandon Avenue, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 181.9 meters, Time: 131.0 seconds
Name: Primrose Avenue, Instruction: Turn left onto Primrose Avenue, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 255.1 meters, Time: 183.7 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Keep right, Distance: 96.2 meters, Time: 69.2 seconds
Name: Ashburnham Road, Instruction: Turn right onto Ashburnham Road, Distance: 161.0 meters, Time: 115.9 seconds
Name: -, Instruction: Arrive at Ashburnham Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
