Name: Quainton Street, Instruction: Head southwest on Quainton Street, Distance: 168.8 meters, Time: 121.5 seconds
Name: Lawrence Way, Instruction: Turn right onto Lawrence Way, Distance: 94.6 meters, Time: 68.1 seconds
Name: Cambridge Close, Instruction: Turn right onto Cambridge Close, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn left, Distance: 203.6 meters, Time: 146.6 seconds
Name: Saint Davids Close, Instruction: Turn right onto Saint Davids Close, Distance: 64.6 meters, Time: 46.5 seconds
Name: Barnhill Road, Instruction: Turn left onto Barnhill Road, Distance: 272.0 meters, Time: 195.8 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.6 seconds
Name: Bowater Road, Instruction: Continue straight onto Bowater Road, Distance: 180.9 meters, Time: 130.3 seconds
Name: Chalkhill Road, Instruction: Turn left onto Chalkhill Road, Distance: 372.2 meters, Time: 268.0 seconds
Name: -, Instruction: Turn left, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn right, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: Brook Avenue, Instruction: Continue straight onto Brook Avenue, Distance: 416.7 meters, Time: 300.0 seconds
Name: -, Instruction: Turn left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Keep right, Distance: 136.5 meters, Time: 98.3 seconds
Name: Carlton Avenue East, Instruction: Turn left onto Carlton Avenue East, Distance: 12.5 meters, Time: 9.0 seconds
Name: Carlton Avenue East, Instruction: Turn right onto Carlton Avenue East, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Arrive at Carlton Avenue East, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
