Name: 三番街, Instruction: Head east on 三番街, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 115.2 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 128.8 meters, Time: 92.7 seconds
Name: -, Instruction: Turn left, Distance: 83.3 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn right, Distance: 55.9 meters, Time: 40.3 seconds
Name: 薬師柳通り, Instruction: Turn sharp right onto 薬師柳通り, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Keep left, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 54.4 meters, Time: 39.2 seconds
Name: -, Instruction: Turn left, Distance: 167.5 meters, Time: 120.6 seconds
Name: 上高田本通り, Instruction: Turn right onto 上高田本通り, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Arrive at 上高田本通り, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
