Name: McGrath Place, Instruction: Head southwest on McGrath Place, Distance: 147.9 meters, Time: 106.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn slight left, Distance: 94.0 meters, Time: 67.7 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 274.4 meters, Time: 197.5 seconds
Name: Munday Place, Instruction: Turn left onto Munday Place, Distance: 400.0 meters, Time: 288.0 seconds
Name: Outram Place, Instruction: Turn right onto Outram Place, Distance: 138.3 meters, Time: 99.6 seconds
Name: -, Instruction: Turn slight right, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn right, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 340.7 meters, Time: 245.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 415.7 meters, Time: 299.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
