Name: Cloverhill Road, Instruction: Head south on Cloverhill Road, Distance: 552.7 meters, Time: 397.9 seconds
Name: Stephen Drive, Instruction: Turn right onto Stephen Drive, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: Humber CX, Instruction: Keep right onto Humber CX, Distance: 131.8 meters, Time: 94.9 seconds
Name: Humber CX, Instruction: Turn slight right onto Humber CX, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight left, Distance: 328.8 meters, Time: 236.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 60.4 meters, Time: 43.5 seconds
Name: -, Instruction: Turn slight left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
