Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 190.7 meters, Time: 137.3 seconds
Name: -, Instruction: Turn left, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn slight right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 490.2 meters, Time: 352.9 seconds
Name: Boon Tat Street, Instruction: Turn right onto Boon Tat Street, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 103.7 meters, Time: 74.7 seconds
Name: -, Instruction: Turn right, Distance: 214.5 meters, Time: 154.4 seconds
Name: Collyer Quay, Instruction: Turn left onto Collyer Quay, Distance: 61.1 meters, Time: 44.0 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.9 seconds
Name: Olympic Walk, Instruction: Turn left onto Olympic Walk, Distance: 119.3 meters, Time: 85.9 seconds
Name: -, Instruction: Continue straight, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 42.8 meters, Time: 30.8 seconds
Name: Collyer Quay, Instruction: Turn right onto Collyer Quay, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 77.2 meters, Time: 55.6 seconds
Name: Fullerton Road, Instruction: Turn slight right onto Fullerton Road, Distance: 170.9 meters, Time: 123.1 seconds
Name: -, Instruction: Arrive at Fullerton Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
