Name: Avenue Édouard Vaillant, Instruction: Head southeast on Avenue Édouard Vaillant, Distance: 6.7 meters, Time: 4.8 seconds
Name: Avenue de la Porte de Saint-Cloud, Instruction: Turn left onto Avenue de la Porte de Saint-Cloud, Distance: 89.4 meters, Time: 64.4 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 37.7 meters, Time: 27.2 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: Avenue de la Porte de Saint-Cloud, Instruction: Turn right onto Avenue de la Porte de Saint-Cloud, Distance: 7.3 meters, Time: 5.2 seconds
Name: Place de la Porte de Saint-Cloud, Instruction: Turn left onto Place de la Porte de Saint-Cloud, Distance: 69.4 meters, Time: 49.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Turn slight right, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn left, Distance: 408.3 meters, Time: 294.0 seconds
Name: -, Instruction: Turn right, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Keep right, Distance: 169.6 meters, Time: 122.1 seconds
Name: -, Instruction: Turn slight left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn slight right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Keep right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 89.5 meters, Time: 64.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 544.6 meters, Time: 392.1 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 288.1 meters, Time: 207.4 seconds
Name: -, Instruction: Turn right, Distance: 55.1 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 182.0 meters, Time: 131.0 seconds
Name: Port de Javel, Instruction: Turn left onto Port de Javel, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: Quai André Citroën, Instruction: Turn left onto Quai André Citroën, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn slight right, Distance: 7.2 meters, Time: 5.2 seconds
Name: Quai André Citroën, Instruction: Turn right onto Quai André Citroën, Distance: 12.8 meters, Time: 9.2 seconds
Name: Rue Laure Surville, Instruction: Turn right onto Rue Laure Surville, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 107.2 meters, Time: 77.2 seconds
Name: -, Instruction: Keep left, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
