Name: Kawa Drive, Instruction: Head east on Kawa Drive, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: Quattro Avenue, Instruction: Turn right onto Quattro Avenue, Distance: 200.1 meters, Time: 144.0 seconds
Name: Broadhurst Road, Instruction: Turn left onto Broadhurst Road, Distance: 119.6 meters, Time: 86.1 seconds
Name: Donegal Park Drive, Instruction: Turn right onto Donegal Park Drive, Distance: 80.8 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
