Name: Kurrajong Avenue, Instruction: Head east on Kurrajong Avenue, Distance: 24.8 meters, Time: 17.9 seconds
Name: Kurrajong Road, Instruction: Keep left onto Kurrajong Road, Distance: 43.9 meters, Time: 31.6 seconds
Name: Belmore Avenue, Instruction: Enter the roundabout and take the 1st exit onto Belmore Avenue, Distance: 168.6 meters, Time: 121.4 seconds
Name: Dudley Street, Instruction: Turn right onto Dudley Street, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 307.5 meters, Time: 221.4 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn right, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 342.8 meters, Time: 246.8 seconds
Name: -, Instruction: Keep right, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Continue straight, Distance: 312.5 meters, Time: 225.0 seconds
Name: -, Instruction: Continue straight, Distance: 541.3 meters, Time: 389.7 seconds
Name: -, Instruction: Turn right, Distance: 27.3 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 144.8 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.4 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.5 seconds
Name: -, Instruction: Turn left, Distance: 37.2 meters, Time: 26.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
