Name: Patricia Street, Instruction: Head north on Patricia Street, Distance: 52.4 meters, Time: 37.8 seconds
Name: Dorothy Street, Instruction: Turn left onto Dorothy Street, Distance: 193.6 meters, Time: 139.4 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.5 seconds
Name: Gladys Street, Instruction: Turn left onto Gladys Street, Distance: 7.3 meters, Time: 5.2 seconds
Name: John Street, Instruction: Turn right onto John Street, Distance: 170.4 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn right, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn left, Distance: 47.0 meters, Time: 33.9 seconds
Name: Pine Lane, Instruction: Turn right onto Pine Lane, Distance: 98.2 meters, Time: 70.7 seconds
Name: Pine Street, Instruction: Turn left onto Pine Street, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 261.9 meters, Time: 188.6 seconds
Name: The Ponds Walk, Instruction: Continue straight onto The Ponds Walk, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Continue straight, Distance: 238.6 meters, Time: 171.8 seconds
Name: -, Instruction: Turn left, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 641.4 meters, Time: 461.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
