Name: Gertrud-Grunow-Straße, Instruction: Head northwest on Gertrud-Grunow-Straße, Distance: 176.0 meters, Time: 126.7 seconds
Name: -, Instruction: Turn slight left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn slight right, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 74.4 meters, Time: 53.6 seconds
Name: Weißenhofweg, Instruction: Turn right onto Weißenhofweg, Distance: 56.6 meters, Time: 40.8 seconds
Name: Frankfurter Ring, Instruction: Turn left onto Frankfurter Ring, Distance: 505.2 meters, Time: 363.8 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: Frankfurter Ring, Instruction: Keep left onto Frankfurter Ring, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
