Name: Ladies Mile, Instruction: Head southeast on Ladies Mile, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 489.0 meters, Time: 352.1 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 218.9 meters, Time: 157.6 seconds
Name: -, Instruction: Keep left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 206.6 meters, Time: 148.7 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 257.8 meters, Time: 185.6 seconds
Name: Arkles Strand, Instruction: Turn left onto Arkles Strand, Distance: 837.9 meters, Time: 603.3 seconds
Name: -, Instruction: Keep left, Distance: 123.0 meters, Time: 88.6 seconds
Name: -, Instruction: Keep left, Distance: 75.4 meters, Time: 54.3 seconds
Name: Ferry Road, Instruction: Turn left onto Ferry Road, Distance: 7.5 meters, Time: 5.4 seconds
Name: Hawaiian Parade, Instruction: Enter the roundabout and take the 1st exit onto Hawaiian Parade, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
