Name: Rua Niltinho Tristeza, Instruction: Head south on Rua Niltinho Tristeza, Distance: 32.7 meters, Time: 23.5 seconds
Name: Rua Jorge Martins, Instruction: Turn right onto Rua Jorge Martins, Distance: 97.8 meters, Time: 70.4 seconds
Name: Rua Paranhos, Instruction: Turn left onto Rua Paranhos, Distance: 666.8 meters, Time: 480.1 seconds
Name: Rua Sebastião de Carvalho, Instruction: Turn right onto Rua Sebastião de Carvalho, Distance: 140.7 meters, Time: 101.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 103.1 meters, Time: 74.2 seconds
Name: Rua Leste, Instruction: Continue straight onto Rua Leste, Distance: 65.1 meters, Time: 46.9 seconds
Name: Avenida Central, Instruction: Turn left onto Avenida Central, Distance: 29.9 meters, Time: 21.5 seconds
Name: Rua da Frente (NR), Instruction: Turn right onto Rua da Frente (NR), Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Keep left, Distance: 146.7 meters, Time: 105.6 seconds
Name: Rua Maria Soares, Instruction: Turn left onto Rua Maria Soares, Distance: 84.0 meters, Time: 60.5 seconds
Name: Rua Joaquim de Queiroz, Instruction: Turn right onto Rua Joaquim de Queiroz, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 54.3 meters, Time: 39.1 seconds
Name: Estrada do Itararé, Instruction: Turn right onto Estrada do Itararé, Distance: 25.2 meters, Time: 18.1 seconds
Name: Rua Sete de Setembro, Instruction: Turn right onto Rua Sete de Setembro, Distance: 58.4 meters, Time: 42.0 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight left, Distance: 169.8 meters, Time: 122.3 seconds
Name: -, Instruction: Turn left, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn slight left, Distance: 47.9 meters, Time: 34.5 seconds
Name: Estrada do Itararé, Instruction: Turn sharp right onto Estrada do Itararé, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Arrive at Estrada do Itararé, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
