Name: Burnham Close, Instruction: Head west on Burnham Close, Distance: 24.8 meters, Time: 17.8 seconds
Name: Bushwood Drive, Instruction: Turn slight left onto Bushwood Drive, Distance: 41.6 meters, Time: 30.0 seconds
Name: Longfellow Way, Instruction: Turn left onto Longfellow Way, Distance: 71.7 meters, Time: 51.7 seconds
Name: Chaucer Drive, Instruction: Turn left onto Chaucer Drive, Distance: 29.4 meters, Time: 21.1 seconds
Name: Chaucer Drive, Instruction: Turn right onto Chaucer Drive, Distance: 46.6 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: Dunton Road, Instruction: Turn left onto Dunton Road, Distance: 37.3 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Dunton Road, Instruction: Turn left onto Dunton Road, Distance: 186.8 meters, Time: 134.5 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: Old Kent Road, Instruction: Turn right onto Old Kent Road, Distance: 113.6 meters, Time: 81.8 seconds
Name: East Street, Instruction: Turn left onto East Street, Distance: 278.1 meters, Time: 200.2 seconds
Name: Elsted Street, Instruction: Turn right onto Elsted Street, Distance: 263.2 meters, Time: 189.5 seconds
Name: Catesby Street, Instruction: Turn left onto Catesby Street, Distance: 23.6 meters, Time: 17.0 seconds
Name: Rodney Road, Instruction: Turn right onto Rodney Road, Distance: 149.8 meters, Time: 107.9 seconds
Name: -, Instruction: Arrive at Rodney Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
