Name: Chestnut Street, Instruction: Head south on Chestnut Street, Distance: 249.3 meters, Time: 179.5 seconds
Name: Armoury Street, Instruction: Turn right onto Armoury Street, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 286.5 meters, Time: 206.3 seconds
Name: Queen Street West, Instruction: Turn right onto Queen Street West, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 67.7 meters, Time: 48.8 seconds
Name: -, Instruction: Keep right, Distance: 116.9 meters, Time: 84.2 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
