Name: Viooltjie Street, Instruction: Head east on Viooltjie Street, Distance: 283.4 meters, Time: 204.1 seconds
Name: Birmingham Road, Instruction: Continue straight onto Birmingham Road, Distance: 53.4 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn left, Distance: 67.6 meters, Time: 48.7 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 33.9 meters, Time: 24.4 seconds
Name: Main Road, Instruction: Turn left onto Main Road, Distance: 44.7 meters, Time: 32.2 seconds
Name: Main Road, M4, Instruction: Turn slight left onto Main Road, M4, Distance: 170.7 meters, Time: 122.9 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Continue straight, Distance: 306.5 meters, Time: 220.7 seconds
Name: -, Instruction: Turn slight right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn slight right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 33.1 meters, Time: 23.8 seconds
Name: Southfield Road, Instruction: Turn right onto Southfield Road, Distance: 129.0 meters, Time: 92.9 seconds
Name: Culm Road, Instruction: Turn left onto Culm Road, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 93.3 meters, Time: 67.2 seconds
Name: Exeter Road, Instruction: Turn left onto Exeter Road, Distance: 271.9 meters, Time: 195.8 seconds
Name: -, Instruction: Turn right, Distance: 69.1 meters, Time: 49.7 seconds
Name: Tiverton Road, Instruction: Turn slight right onto Tiverton Road, Distance: 152.9 meters, Time: 110.1 seconds
Name: Ashbury Road, Instruction: Turn left onto Ashbury Road, Distance: 312.7 meters, Time: 225.1 seconds
Name: South Road, Instruction: Turn left onto South Road, Distance: 67.0 meters, Time: 48.3 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
