Name: Hemlock Street, Instruction: Head north on Hemlock Street, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn right, Distance: 50.2 meters, Time: 36.2 seconds
Name: Claremont Boulevard, Instruction: Turn slight right onto Claremont Boulevard, Distance: 107.4 meters, Time: 77.3 seconds
Name: Claremont Boulevard, Instruction: Keep right onto Claremont Boulevard, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 30.2 meters, Time: 21.7 seconds
Name: Claremont Boulevard, Instruction: Turn right onto Claremont Boulevard, Distance: 127.9 meters, Time: 92.1 seconds
Name: -, Instruction: Turn left, Distance: 183.1 meters, Time: 131.8 seconds
Name: -, Instruction: Turn right, Distance: 103.9 meters, Time: 74.8 seconds
Name: Stegmann Road, Instruction: Turn left onto Stegmann Road, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 394.8 meters, Time: 284.2 seconds
Name: -, Instruction: Turn left, Distance: 596.4 meters, Time: 429.4 seconds
Name: -, Instruction: Turn right, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 133.4 meters, Time: 96.1 seconds
Name: 2nd Avenue, Instruction: Turn right onto 2nd Avenue, Distance: 175.3 meters, Time: 126.2 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn slight left, Distance: 35.9 meters, Time: 25.9 seconds
Name: Hampstead Road, Instruction: Turn right onto Hampstead Road, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Arrive at Hampstead Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
