Name: Altheimer Eck, Instruction: Head west on Altheimer Eck, Distance: 10.6 meters, Time: 7.7 seconds
Name: Eisenmannstraße, Instruction: Turn right onto Eisenmannstraße, Distance: 109.4 meters, Time: 78.7 seconds
Name: Neuhauser Straße, Instruction: Turn left onto Neuhauser Straße, Distance: 72.7 meters, Time: 52.3 seconds
Name: Kapellenstraße, Instruction: Turn right onto Kapellenstraße, Distance: 164.2 meters, Time: 118.2 seconds
Name: Maxburgstraße, Instruction: Turn right onto Maxburgstraße, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: Pacellistraße, Instruction: Turn left onto Pacellistraße, Distance: 16.0 meters, Time: 11.5 seconds
Name: Lenbachplatz, Instruction: Turn sharp right onto Lenbachplatz, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Keep right, Distance: 65.8 meters, Time: 47.4 seconds
Name: -, Instruction: Turn left, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.8 seconds
Name: Max-Joseph-Straße, Instruction: Turn left onto Max-Joseph-Straße, Distance: 259.7 meters, Time: 187.0 seconds
Name: Karolinenplatz, Instruction: Turn right onto Karolinenplatz, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
