Name: Trogerstraße, Instruction: Head north on Trogerstraße, Distance: 182.5 meters, Time: 131.4 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 98.0 meters, Time: 70.6 seconds
Name: Prinzregentenstraße, Instruction: Continue straight onto Prinzregentenstraße, Distance: 106.2 meters, Time: 76.5 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn slight right, Distance: 25.7 meters, Time: 18.5 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 109.8 meters, Time: 79.1 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Prinzregentenstraße, Instruction: Turn left onto Prinzregentenstraße, Distance: 91.8 meters, Time: 66.1 seconds
Name: -, Instruction: Turn right, Distance: 96.8 meters, Time: 69.7 seconds
Name: -, Instruction: Keep left, Distance: 282.5 meters, Time: 203.4 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Continue straight, Distance: 140.3 meters, Time: 101.0 seconds
Name: Oettingenstraße, Instruction: Turn left onto Oettingenstraße, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 30.4 meters, Time: 21.9 seconds
Name: Oettingenstraße, Instruction: Turn right onto Oettingenstraße, Distance: 104.1 meters, Time: 74.9 seconds
Name: Oettingenstraße, Instruction: Turn left onto Oettingenstraße, Distance: 30.4 meters, Time: 21.9 seconds
Name: -, Instruction: Arrive at Oettingenstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
