Name: Hall Place, Instruction: Head south on Hall Place, Distance: 45.9 meters, Time: 33.1 seconds
Name: Nelson Street, Instruction: Turn right onto Nelson Street, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 118.1 meters, Time: 85.0 seconds
Name: -, Instruction: Turn right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 1327.1 meters, Time: 955.5 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Keep right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn left, Distance: 123.6 meters, Time: 89.0 seconds
Name: Ben Lomond Road, Instruction: Turn right onto Ben Lomond Road, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Arrive at Ben Lomond Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
