Name: Werneckweg, Instruction: Head south on Werneckweg, Distance: 0.2 meters, Time: 0.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 121.0 meters, Time: 87.1 seconds
Name: Zistlerweg, Instruction: Continue straight onto Zistlerweg, Distance: 69.9 meters, Time: 50.3 seconds
Name: Zistlerweg, Instruction: Keep left onto Zistlerweg, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn slight right, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Keep left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep right, Distance: 84.9 meters, Time: 61.1 seconds
Name: -, Instruction: Keep right, Distance: 80.7 meters, Time: 58.1 seconds
Name: Rohmederstraße, Instruction: Continue straight onto Rohmederstraße, Distance: 299.8 meters, Time: 215.9 seconds
Name: Grasmeierstraße, Instruction: Turn left onto Grasmeierstraße, Distance: 76.0 meters, Time: 54.7 seconds
Name: Christoph-Probst-Straße, Instruction: Turn right onto Christoph-Probst-Straße, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Keep left, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Keep right, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
