Name: Pukerangi Crescent, Instruction: Head west on Pukerangi Crescent, Distance: 198.9 meters, Time: 143.2 seconds
Name: Ladies Mile, Instruction: Turn sharp right onto Ladies Mile, Distance: 38.4 meters, Time: 27.6 seconds
Name: Morrin Street, Instruction: Turn left onto Morrin Street, Distance: 718.5 meters, Time: 517.3 seconds
Name: Mitchelson Street, Instruction: Turn right onto Mitchelson Street, Distance: 232.6 meters, Time: 167.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Keep right, Distance: 181.4 meters, Time: 130.6 seconds
Name: Ascot Avenue, Instruction: Turn right onto Ascot Avenue, Distance: 78.9 meters, Time: 56.8 seconds
Name: Ascot Avenue, Instruction: Keep right onto Ascot Avenue, Distance: 20.9 meters, Time: 15.0 seconds
Name: Ascot Avenue, Instruction: Enter the roundabout and take the 3rd exit onto Ascot Avenue, Distance: 231.1 meters, Time: 166.4 seconds
Name: Ascot Avenue, Instruction: Keep right onto Ascot Avenue, Distance: 28.4 meters, Time: 20.4 seconds
Name: Green Shared Path East, Instruction: Turn right onto Green Shared Path East, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 564.0 meters, Time: 406.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Ascot Avenue, Instruction: Turn right onto Ascot Avenue, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at Ascot Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
