Name: Sandown Drive, Instruction: Head northeast on Sandown Drive, Distance: 179.9 meters, Time: 129.5 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 687.1 meters, Time: 494.7 seconds
Name: -, Instruction: Turn left, Distance: 42.6 meters, Time: 30.6 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn left, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn slight right, Distance: 271.5 meters, Time: 195.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 261.3 meters, Time: 188.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
